Year,ID_Year
1948,1
1949,2
1950,3
1951,4
1952,5
1953,6
1954,7
1955,8
1956,9
1957,10
1958,11
1959,12
1960,13
1961,14
1962,15
1963,16
1964,17
1965,18
1966,19
1967,20
1968,21
1969,22
1970,23
1971,24
1972,25
1973,26
1974,27
1975,28
1976,29
1977,30
1978,31
1979,32
1980,33
1981,34
1982,35
1983,36
1984,37
1985,38
1986,39
1987,40
1988,41
1989,42
1990,43
1991,44
1992,45
1993,46
1994,47
1995,48
1996,49
1997,50
1998,51
1999,52
2000,53
2001,54
2002,55
2003,56
2004,57
2005,58
2006,59
2007,60
2008,61
2009,62
2010,63
2011,64
2012,65
2013,66
2014,67
2015,68
2016,69
2017,70
2018,71
2019,72
2020,73
2021,74
2022,75
2023,76
