Population,ID_Country,ID_Year,ID_Population
806000,9,1,1
1174000,9,2,2
1370000,9,3,3
1578000,9,4,4
1630000,9,5,5
1669000,9,6,6
1718000,9,7,7
1789000,9,8,8
1872000,9,9,9
1976000,9,10,10
2032000,9,11,11
2089000,9,12,12
2150000,9,13,13
2234000,9,14,14
2332000,9,15,15
2430000,9,16,16
2526000,9,17,17
2598000,9,18,18
2657000,9,19,19
2776000,9,20,20
2841000,9,21,21
2930000,9,22,22
3022000,9,23,23
3121000,9,24,24
3225000,9,25,25
3338000,9,26,26
3422000,9,27,27
3493000,9,28,28
3575000,9,29,29
3653000,9,30,30
3738000,9,31,31
3836000,9,32,32
3922000,9,33,33
3978000,9,34,34
4064000,9,35,35
4119000,9,36,36
4200000,9,37,37
4266000,9,38,38
4331000,9,39,39
4407000,9,40,40
4477000,9,41,41
4560000,9,42,42
4822000,9,43,43
5059000,9,44,44
5196000,9,45,45
5328000,9,46,46
5472000,9,47,47
5619000,9,48,48
5689000,9,49,49
5987000,9,50,50
6038000,9,51,51
6200000,9,52,52
6289000,9,53,53
6460000,9,54,54
6600000,9,55,55
6600000,9,56,56
6780000,9,57,57
6930000,9,58,58
7116000,9,59,59
7244000,9,60,60
7337000,9,61,61
7552000,9,62,62
7695000,9,63,63
7746000,9,64,64
7836000,9,65,65
8081000,9,66,66
8345000,9,67,67
8462000,9,68,68
8522000,9,69,69
8630000,9,70,70
8972000,9,71,71
9092000,9,72,72
9291000,9,73,73
9998000,9,74,74
9656000,9,75,75
9795000,9,76,76
