Refugees,ID_Country,ID_Year,ID_Refugees
472647,8,5,1
103137,7,5,2
85660,3,5,3
206014,4,5,4
479243,8,6,5
100942,7,6,6
85182,3,6,7
209229,4,6,8
493109,8,7,9
102851,7,7,10
86669,3,7,11
212620,4,7,12
505704,8,8,13
101536,7,8,14
88958,3,8,15
216227,4,8,16
511413,8,9,17
103167,7,9,18
90919,3,9,19
219423,4,9,20
534604,8,10,21
108748,7,10,22
97007,3,10,23
227427,4,10,24
586706,8,11,25
129228,7,11,26
109506,3,11,27
245343,4,11,28
604236,8,12,29
134569,7,12,30
112949,3,12,31
251976,4,12,32
623660,8,13,33
137884,7,13,34
116778,3,13,35
258165,4,13,36
633197,8,14,37
142670,7,14,38
120577,3,14,39
265430,4,14,40
644940,8,15,41
146969,7,15,42
124626,3,15,43
273038,4,15,44
662525,8,16,45
152747,7,16,46
129010,3,16,47
283782,4,16,48
678985,8,17,49
157274,7,17,50
133366,3,17,51
293024,4,17,52
697658,8,18,53
162499,7,18,54
138081,3,18,55
301879,4,18,56
714763,8,19,57
161262,7,19,58
142206,3,19,59
311846,4,19,60
668453,8,20,61
122967,7,20,62
127304,3,20,63
295040,4,20,64
478369,8,21,65
168927,7,21,66
151730,3,21,67
576889,4,21,68
499460,8,22,69
173539,7,22,70
156635,3,22,71
580025,4,22,72
520997,8,23,73
177862,7,23,74
160932,3,23,75
585231,4,23,76
542549,8,24,77
181764,7,24,78
166099,3,24,79
596684,4,24,80
557971,8,25,81
185597,7,25,82
171230,3,25,83
608237,4,25,84
582400,8,26,85
189277,7,26,86
175817,3,26,87
607485,4,26,88
607430,8,27,89
192830,7,27,90
179916,3,27,91
616545,4,27,92
636778,8,28,93
197974,7,28,94
186130,3,28,95
631554,4,28,96
653708,8,29,97
199238,7,29,98
189902,3,29,99
641403,4,29,100
672301,8,30,101
206521,7,30,102
195517,3,30,103
656181,4,30,104
690298,8,31,105
215248,7,31,106
200605,3,31,107
672664,4,31,108
706625,8,32,109
223470,7,32,110
206045,3,32,111
685793,4,32,112
723551,8,33,113
230105,7,33,114
212053,3,33,115
697453,4,33,116
736920,8,34,117
233881,7,34,118
216351,3,34,119
707689,4,34,120
756487,8,35,121
239217,7,35,122
223122,3,35,123
722965,4,35,124
771134,8,36,125
252593,7,36,126
229433,3,36,127
738797,4,36,128
790430,8,37,129
260270,7,37,130
240718,3,37,131
775798,4,37,132
811260,8,38,133
267614,7,38,134
247991,3,38,135
792997,4,38,136
834271,8,39,137
274878,7,39,138
254293,3,39,139
808938,4,39,140
859689,8,40,141
282757,7,40,142
261694,3,40,143
828482,4,40,144
884040,8,41,145
292098,7,41,146
269142,3,41,147
856639,4,41,148
916013,8,42,149
296871,7,42,150
276547,3,42,151
886736,4,42,152
943819,8,43,153
306471,7,43,154
284888,3,43,155
931338,4,43,156
989207,8,44,157
315508,7,44,158
294050,3,44,159
987508,4,44,160
1042123,8,45,161
324219,7,45,162
306042,3,45,163
1055436,4,45,164
1140199,8,46,165
334659,7,46,166
321104,3,46,167
1117275,4,46,168
1239811,8,47,169
342121,7,47,170
332465,3,47,171
1178777,4,47,172
1328768,8,48,173
349773,7,48,174
342507,3,48,175
1224996,4,48,176
1389603,8,49,177
356258,7,49,178
352136,3,49,179
1270333,4,49,180
1437371,8,50,181
362098,7,50,182
361202,3,50,183
1308438,4,50,184
1487449,8,51,185
367610,7,51,186
370035,3,51,187
1348288,4,51,188
1541405,8,52,189
373440,7,52,190
378382,3,52,191
1384655,4,52,192
1609566,8,53,193
380072,7,53,194
387526,3,53,195
1428891,4,53,196
1662227,8,54,197
384918,7,54,198
396248,3,54,199
1483394,4,54,200
1698271,8,55,201
389233,7,55,202
405601,3,55,203
1532589,4,55,204
1740170,8,56,205
394532,7,56,206
413827,3,56,207
1587920,4,56,208
1776669,8,57,209
399152,7,57,210
421737,3,57,211
1634952,4,57,212
1827877,8,58,213
404170,7,58,214
432048,3,58,215
1685851,4,58,216
1858362,8,59,217
408438,7,59,218
442363,3,59,219
1739266,4,59,220
1903490,8,60,221
413962,7,60,222
451467,3,60,223
1793901,4,60,224
1951603,8,61,225
422188,7,61,226
461897,3,61,227
1836123,4,61,228
1983733,8,62,229
425640,7,62,230
472109,3,62,231
1885188,4,62,232
1942431,8,63,233
430078,7,63,234
476801,3,63,235
1841769,4,63,236
1979580,8,64,237
436154,7,64,238
486946,3,64,239
1895043,4,64,240
2034641,8,65,241
441543,7,65,242
499189,3,65,243
1944544,4,65,244
2070973,8,66,245
447328,7,66,246
517255,3,66,247
1994493,4,66,248
2117361,8,67,249
452669,7,67,250
528616,3,67,251
2051096,4,67,252
2144233,8,68,253
458369,7,68,254
534654,3,68,255
2104001,4,68,256
2175491,8,69,257
463664,7,69,258
543014,3,69,259
2158274,4,69,260
2206736,8,70,261
469555,7,70,262
551873,3,70,263
2214783,4,70,264
2242577,8,71,265
475075,7,71,266
560139,3,71,267
2267747,4,71,268
2272411,8,72,269
476033,7,72,270
562312,3,72,271
2319073,4,72,272
2348243,4,73,273
2307011,8,73,274
479537,7,73,275
568730,3,73,276
2400208,4,74,277
2334789,8,74,278
482676,7,74,279
575234,3,74,280
2454258,4,75,281
2365090,8,75,282
487282,7,75,283
580723,3,75,284
2482144,4,76,285
2379525,8,76,286
490636,7,76,287
583942,3,76,288
