Year,FSU,USA/Canada,France,U.K.,Argentina,s. Africa,Ethiopia,Total
1948,1175,336,640,501,62,178,40,2932
1949,3255,659,1665,796,326,228,1,6930
1950,290,888,672,662,435,205,5,3157
1951,196,618,401,347,325,72,1,1960
1952,74,353,246,257,291,51,40,1312
1953,45,234,196,192,427,46,3,1143
1954,30,349,201,181,398,73,13,1245
1955,139,380,206,204,363,111,25,1428
1956,470,209,199,176,505,234,1,1794
1957,1324,313,267,223,665,96,5,2893
1958,729,409,274,227,515,106,4,2264
1959,1362,379,326,229,420,114,3,2833
1960,1923,462,371,268,337,154,3,3518
1961,224,348,372,235,495,116,2,1792
1962,194,677,580,363,693,195,11,2713
1963,314,968,546,536,4255,409,17,7045
1964,541,1122,731,408,1998,381,8,5189
1965,895,1016,830,356,1154,310,9,4570
1966,2054,826,700,351,664,301,21,4917
1967,1403,739,893,299,547,233,13,4127
1968,224,1035,2523,467,559,160,17,4985
1969,3019,6419,5292,1763,1274,715,14,18496
1970,992,7158,4414,1585,1457,803,13,16422
1971,12839,8122,3281,1381,2107,647,7,28384
1972,31652,6034,2356,1030,2598,605,40,44315
1973,33477,4786,1473,760,2809,577,41,43923
1974,16816,3393,1345,832,1625,432,24,24467
1975,8531,3065,1382,707,892,415,19,15011
1976,7279,2979,1416,592,1616,585,10,14477
1977,8348,2906,1226,840,2158,1448,90,17016
1978,12192,3285,1302,1005,1960,1403,37,21184
1979,17614,3273,1648,1058,1577,978,45,26193
1980,7570,2550,1430,900,1036,346,259,14091
1981,1770,2670,1430,882,949,220,650,8571
1982,782,2934,1682,1154,1165,271,950,8938
1983,399,3806,2094,1294,1283,324,2393,11593
1984,367,2827,1539,786,841,281,8327,14968
1985,362,2090,1017,577,836,246,1886,7014
1986,202,2179,927,568,772,565,236,5449
1987,2096,1986,888,577,1078,737,231,7593
1988,2283,1700,920,528,1546,487,595,8059
1989,12932,1533,900,452,1853,262,1448,19380
1990,185227,1546,864,488,2045,175,4121,194466
1991,147839,1703,966,472,666,135,20014,171795
1992,65093,2068,1182,459,356,267,3648,73073
1993,66145,2280,1372,647,375,437,863,72119
1994,68079,2398,1512,626,538,595,1197,74945
1995,64848,2503,1635,669,966,287,1312,72220
1996,59048,2262,1870,547,1370,299,1411,66807
1997,54621,2057,1938,487,1255,290,1661,62309
1998,46032,1793,1671,393,738,204,3110,53941
1999,66848,1697,1366,383,936,228,2290,73748
2000,50817,1401,1153,326,1053,192,2201,57143
2001,33601,1386,1007,308,1375,158,3274,41109
2002,18508,1664,2035,277,5931,177,2656,31248
2003,12383,1873,1789,330,1371,88,3029,20863
2004,10127,2132,2003,363,458,82,3695,18860
2005,9378,2640,2545,383,397,102,3571,19016
2006,533,2095,1781,506,299,139,3595,8948
2007,6646,1903,1719,509,315,159,3585,14836
2008,5616,2286,1562,505,188,257,1582,11996
2009,6948,3260,1594,684,311,319,243,13359
2010,7158,2801,1775,523,351,266,1652,14526
2011,7225,2575,1619,485,220,202,2666,14992
2012,7234,2525,1653,569,0,0,2432,14413
2013,7280,2414,2904,403,0,0,1355,14356
2014,11456,2349,4133,448,276,157,213,19032
2015,14096,2789,6628,623,262,189,91,24678
2016,14668,2569,3267,556,270,245,43,21618
2017,16183,2847,3157,468,247,281,43,23226
2018,18887,2759,2431,514,283,256,31,25161
2019,24284,2481,2227,498,411,343,43,30287
2020,10975,2284,2393,443,544,268,187,17094
2021,10500,4400,3500,630,900,550,1636,22116
2022,62759,3351,2211,568,958,419,16,70282
Total,1389425,161755,120263,42639,72531,23886,95023,1905522
